No.,Formula,Name,CAS,minimum temperature,maximum temperature,a0,a1,a2,a3,a4,ideal gas heat capacity at 298.15,Eq
-,-,-,-,Tmin,Tmax,a0,a1,a2,a3,a4,Cp_IG_298.15K,Cp_IG
-,-,-,-,K,K,1.00,1.00E+03,1.00E+05,1.00E+08,1.00E+11,J/mol.K,J/mol.K
167,C7H8O,4-methylphenol (p-cresol),106-44-5,50,1000,2.881,27.407,7.943,-13.423,5.843,124.97,1
168,C7H9N,"2,3-dimethylpyridine (2,3 lutidine)",108-47-4,50,1000,4.225,13.393,11.364,-16.169,6.585,120.97,1
169,C7H9N,"2,4-dimethylpyridine (2,4 lutidine)",589-93-5,50,1000,4.247,13.487,11.535,-16.564,6.803,122.01,1
170,C7H9N,"2,5-dimethylpyridine (2,5 lutidine)",108-48-5,50,1000,4.183,14.253,11.226,-16.133,6.610,121.86,1
171,C7H9N,"2,6-dimethylpyridine (2,6 lutidine)",583-58-4,50,1000,3.413,31.807,5.284,-8.851,3.610,128.75,1
172,C7H9N,"3,4-dimethylpyridine (3,4 lutidine)",591-22-0,50,1000,4.135,15.216,10.792,-15.509,6.324,121.78,1
173,C7H14,"3,5-dimethylpyridine (3,5 lutidine)",291-64-5,50,1000,3.995,5.299,17.971,-24.179,9.665,132.01,1
174,C7H14,methylcyclohexane,108-87-2,50,1000,3.148,18.438,13.624,-18.793,7.364,135.80,1
175,C7H14,ethylcyclopentane,1640-89-7,50,1000,5.847,-0.048,17.507,-22.495,8.656,133.60,1
176,C7H14,"cis-1,3-dimethylcyclopentane",2532-58-3,298,1000,-2.522,60.538,2.703,-7.572,3.361,134.50,1
177,C7H14,"trans-1,3-dimethylcyclopentane",1759-58-6,298,1000,-2.522,60.538,2.703,-7.572,3.361,134.50,1
178,C7H14,1-heptene,592-76-7,200,1000,7.520,12.824,12.670,-17.578,7.035,153.46,1
179,C₇H₁₆,heptane,142-82-5,200,1000,9.634,4.156,15.494,-20.066,7.770,165.20,1
180,C₇H₁₆,2-methylhexane,591-76-4,200,1000,3.452,46.373,5.446,-9.875,4.089,164.50,1
181,C₇H₁₆,3-ethylpentane,617-78-7,200,1000,7.598,19.547,11.641,-16.107,6.378,166.00,1
182,C₇H₁₆,"2,2-dimethylpentane",590-35-2,200,1000,1.315,60.462,2.813,-7.620,3.434,166.70,1
183,C₇H₁₆,"2,3-dimethylpentane",565-59-3,200,1000,-4.314,96.708,-6.454,2.227,-0.313,160.83,1
184,C₇H₁₆,"2,4-dimethylpentane",108-08-7,200,1000,-3.133,97.923,-6.912,2.424,-0.250,170.75,1
185,C₇H₁₆,"3,3-dimethylpentane",562-49-2,200,1000,-0.480,73.415,-0.740,-3.562,1.822,165.80,1
186,C₇H₁₆,"2,2,3-trimethylbutane",464-06-2,200,1000,-0.711,73.562,-1.007,-3.018,1.583,163.30,1
187,C₇H₁₆O,1-heptanol,111-70-6,200,1000,7.935,18.023,14.223,-20.320,8.262,175.90,1
188,C₈F₁₈,octadecafluorooctane,307-34-6,200,1000,3.352,193.679,-24.528,15.491,-3.962,358.07,1
189,C₈H₁₀,ethylbenzene,100-41-4,50,1000,4.544,10.578,13.644,-19.276,7.885,127.40,1
190,C₈H₁₀,"1,2-dimethylbenzene (o-xylene)",95-47-6,50,1000,3.289,34.144,4.989,-8.335,3.338,132.31,1
191,C₈H₁₀,"1,3-dimethylbenzene (m-xylene)",108-38-3,50,1000,4.002,17.537,10.590,-15.037,6.008,125.71,1
192,C₈H₁₀,"1,4-dimethylbenzene (p-xylene)",106-42-3,50,1000,4.113,14.909,11.810,-16.724,6.736,126.02,1
193,C₈H₁₀O,2-ethylphenol,90-00-6,298,1000,-2.392,82.472,-4.476,0.434,0.890,151.16,1
194,C₈H₁₀O,3-ethylphenol,620-17-7,298,1000,-4.029,90.167,-5.877,0.702,0.546,148.54,1
195,C₈H₁₀O,4-ethyl-phenol,123-07-9,298,1000,-3.628,88.368,-5.660,0.616,0.548,148.83,1
196,C₈H₁₀O,"2,4-dimethylphenol (2,4 xylenol)",105-67-9,50,1000,3.752,41.738,5.814,-11.112,4.855,156.10,1
197,C₈H₁₀O,"2,5-dimethylphenol (2,5 xylenol)",95-87-4,50,1000,3.008,50.507,2.960,-7.548,3.351,157.09,1
198,C₈H₁₀O,"2,6-dimethylphenol (2,6 xylenol)",576-26-1,50,1000,2.604,51.990,2.683,-7.380,3.340,155.97,1
199,C₈H₁₀O,"3,4-dimethylphenol (3,4 xylenol)",95-65-8,50,1000,1.407,67.846,-1.345,-3.401,1.952,163.52,1
200,C₈H₁₀O,"3,5-dimethylphenol (3,5 xylenol)",108-68-9,50,1000,2.869,43.266,5.901,-11.468,5.053,152.70,1
201,C₈H₁₆,cyclooctane,292-64-8,50,1000,4.236,13.119,16.313,-21.072,7.987,146.19,1
202,C₈H₁₆,"t-1,4-dimethylcyclohexane",2207-04-7,50,1000,3.902,20.058,15.345,-20.707,7.974,155.19,1
203,C₈H₁₆,1-octene,111-66-0,200,1000,8.745,13.240,15.096,-20.895,8.366,176.10,1
204,C₈H₁₈,octane,111-65-9,200,1000,10.824,4.983,17.751,-23.137,8.980,187.78,1
205,C₈H₁₈,2-methylheptane,592-27-8,200,1000,5.257,41.188,9.739,-15.692,6.570,187.23,1
206,C₈H₁₈,4-methylheptane,589-53-7,200,1000,2.182,62.828,4.419,-10.021,4.358,187.02,1
207,C₈H₁₈,3-ethylhexane,619-99-8,200,1000,7.178,33.720,10.365,-15.312,6.088,189.62,1
208,C₈H₁₈,"2,2-dimethylhexane",590-73-8,200,1000,3.452,55.222,6.066,-11.271,4.732,188.30,1
209,C₈H₁₈,"2,3-dimethylhexane",584-94-1,200,1000,-3.594,100.983,-4.880,-0.342,0.789,184.10,1
210,C₈H₁₈,"2,4-dimethylhexane",589-43-5,200,1000,-3.372,108.645,-7.267,2.176,-0.103,192.30,1
211,C₈H₁₈,"2,5-dimethylhexane",592-13-2,200,1000,-1.367,87.285,-1.799,-3.343,1.857,185.48,1
