Id,No.,Name,Formula,CAS no.,C1,C2,C3,C4,C5,Tmin,P(Tmin),Tmax,P(Tmax),Eq
-,-,-,-,-,C1,C2,C3,C4,C5,Tmin,P(Tmin),Tmax,P(Tmax),VaPr
-,-,-,-,-,1,1,1,1,1,K,Pa,K,Pa,Pa
17,17,Benzenethiol,C6H6S,108-98-5,77.765,-8455.1,-7.7404,4.31E-18,6,258.27,7.68E+00,689,4.73E+06,1
18,18,Benzoic acid,C7H6O2,65-85-0,88.513,-11829,-8.6826,2.32E-19,6,395.45,7.96E+02,751,4.47E+06,1
19,19,Benzonitrile,C7H5N,100-47-0,138.5,-11195,-17.085,9.56E-06,2,260.4,3.08E+00,699.35,4.24E+06,1
20,20,Benzophenone,C13H10O,119-61-9,88.404,-11769,-8.9014,1.93E-18,6,321.35,1.49E+00,830,3.36E+06,1
21,21,Benzyl alcohol,C7H8O,100-51-6,100.68,-11059,-10.709,3.06E-18,6,257.85,1.88E-01,720.15,4.37E+06,1
22,22,Benzyl ethyl ether,C9H12O,539-30-0,68.541,-7886.2,-6.5804,2.43E-06,2,275.65,2.31E+01,662,3.11E+06,1
23,23,Benzyl mercaptan,C7H8S,100-53-8,118.02,-10527,-13.91,6.48E-06,2,243.95,2.98E-01,718,4.07E+06,1
24,24,Biphenyl,C12H10,92-52-4,77.314,-9910.4,-7.5079,2.24E-18,6,342.2,9.42E+01,773,3.41E+06,1
25,25,Bromine,Br2,7726-95-6,108.26,-6592,-14.16,1.60E-02,1,265.85,5.85E+03,584.15,1.03E+07,1
26,26,Bromobenzene,C6H5Br,108-86-1,63.749,-7130.2,-5.879,5.21E-18,6,242.43,7.84E+00,670.15,4.52E+06,1
27,27,Bromoethane,C2H5Br,74-96-4,62.217,-5113.3,-5.9761,4.72E-17,6,154.55,3.72E-01,503.8,6.29E+06,1
28,28,Bromomethane,CH3 Br,74-83-9,72.586,-4698.6,-7.9966,1.16E-05,2,179.47,1.95E+02,467,8.00E+06,1
29,29,"1,2-Butadiene",C4H6,590-19-2,39.714,-3769.9,-2.6407,6.94E-18,6,136.95,4.47E-01,452,4.36E+06,1
30,30,"1,3-Butadiene",C4H6,106-99-0,75.572,-4621.9,-8.5323,1.23E-05,2,164.25,6.92E+01,425,4.30E+06,1
31,31,Butane,C4H10,106-97-8,66.343,-4363.2,-7.046,9.45E-06,2,134.86,6.74E-01,425.12,3.77E+06,1
32,32,"1,2-Butanediol",C4H10O2,0584-03-02,103.28,-11548,-10.925,4.26E-18,6,220,2.93E-04,680,5.20E+06,1
33,33,"1,3-Butanediol",C4H10O2,107-88-0,123.22,-12620,-13.986,3.93E-06,2,196.15,3.74E-07,676,4.03E+06,1
34,34,1-Butanol,C4H10O,71-36-3,106.295,-9866.4,-11.655,1.08E-17,6,183.85,2.90E-04,563.1,4.40E+06,1
35,35,2-Butanol,C4H10O,78-92-2,114.68,-9850.2,-12.963,1.87E-17,6,158.45,1.95E-06,535.9,4.18E+06,1
36,36,1-Butene,C4H8,106-98-9,51.836,-4019.2,-4.5229,4.88E-17,6,87.8,6.94E-07,419.5,4.02E+06,1
37,37,cis-2-Butene,C4H8,590-18-1,72.541,-4691.2,-7.9776,1.04E-05,2,134.26,2.72E-01,435.5,4.24E+06,1
38,38,trans-2-Butene,C4H8,624-64-6,71.704,-4563.1,-7.9053,1.13E-05,2,167.62,7.45E+01,428.6,4.10E+06,1
39,39,Butyl acetate,C6H12O2,123-86-4,122.82,-9253.2,-14.99,1.05E-05,2,199.65,8.17E-02,575.4,3.09E+06,1
40,40,Butylbenzene,C10H14,104-51-8,101.22,-9255.4,-11.538,5.92E-06,2,185.3,1.54E-04,660.5,2.88E+06,1
41,41,Butyl mercaptan,C4H10S,109-79-5,65.382,-6262.4,-6.2585,1.49E-17,6,157.46,2.35E-03,570.1,3.97E+06,1
42,42,sec-Butyl mercaptan,C4H10S,513-53-1,60.649,-5785.9,-5.6113,1.59E-17,6,133.02,3.40E-05,554,4.06E+06,1
43,43,1-Butyne,C4H6,107-00-6,77.004,-5054.5,-8.5665,1.02E-05,2,147.43,1.18E+00,440,4.60E+06,1
44,44,Butyraldehyde,C4H8O,123-72-8,99.33,-7083.6,-11.733,1.00E-05,2,176.75,3.17E-01,537.2,4.32E+06,1
45,45,Butyric acid,C4H8O2,107-92-6,93.815,-9942.2,-9.8019,9.31E-18,6,267.95,6.78E+00,615.7,4.07E+06,1
46,46,Butyronitrile,C4H7N,109-74-0,66.32,-6714.9,-6.3087,1.35E-17,6,161.25,6.18E-04,582.25,3.79E+06,1
47,47,Carbon dioxide,CO2,124-38-9,140.54,-4735,-21.268,4.09E-02,1,216.58,5.19E+05,304.21,7.39E+06,1
48,48,Carbon disulfide,CS2,75-15-0,67.114,-4820.4,-7.5303,9.17E-03,1,161.11,1.49E+00,552,8.04E+06,1
49,49,Carbon monoxide,CO,630-08-0,45.698,-1076.6,-4.8814,7.57E-05,2,68.15,1.54E+04,132.92,3.49E+06,1
50,50,Carbon tetrachloride,CCl4,56-23-5,78.441,-6128.1,-8.5766,6.85E-06,2,250.33,1.12E+03,556.35,4.54E+06,1
51,51,Carbon tetrafluoride,CF4,75-73-0,61.89,-2296.3,-7.086,3.47E-05,2,89.56,1.08E+02,227.51,3.74E+06,1
52,52,Chlorine,Cl2,7782-50-5,71.334,-3855,-8.5171,1.24E-02,1,172.12,1.37E+03,417.15,7.79E+06,1
53,53,Chlorobenzene,C6H5Cl,108-90-7,54.144,-6244.4,-4.5343,4.70E-18,6,227.95,8.45E+00,632.35,4.53E+06,1
54,54,Chloroethane,C2H5Cl,75-00-3,65.988,-4661.3,-6.8586,7.94E-06,2,134.8,1.25E-01,460.35,5.33E+06,1
55,55,Chloroform,CHCl3,67-66-3,146.43,-7792.3,-20.614,2.46E-02,1,207.15,5.25E+01,536.4,5.55E+06,1
56,56,Chloromethane,CH3 Cl,74-87-3,64.697,-4048.1,-6.8066,1.04E-05,2,175.43,8.71E+02,416.25,6.69E+06,1
57,57,1-Chloropropane,C3H7Cl,540-54-5,79.24,-5718.8,-8.789,8.45E-06,2,150.35,6.96E-02,503.15,4.58E+06,1
58,58,2-Chloropropane,C3H7Cl,75-29-6,46.854,-4445.5,-3.6533,1.33E-17,6,155.97,9.08E-01,489,4.51E+06,1
59,59,m-Cresol,C7H8O,108-39-4,95.403,-10581,-10.004,4.30E-18,6,285.39,5.86E+00,705.85,4.52E+06,1
60,60,o-Cresol,C7H8O,95-48-7,210.88,-13928,-29.483,2.52E-02,1,304.19,6.53E+01,697.55,5.06E+06,1
61,61,p-Cresol,C7H8O,106-44-5,118.53,-11957,-13.293,8.70E-18,6,307.93,3.45E+01,704.65,5.15E+06,1
62,62,Cumene,C9H12,98-82-8,102.81,-8674.6,-11.922,7.00E-06,2,177.14,4.71E-04,631,3.23E+06,1
63,63,Cyanogen,C2N2,460-19-5,81.565,-4808.9,-9.3748,1.39E-05,2,245.25,7.39E+04,400.15,5.96E+06,1
64,64,Cyclobutane,C4H8,287-23-0,85.899,-4884.4,-10.883,1.49E-02,1,182.48,1.80E+02,459.93,4.99E+06,1
65,65,Cyclohexane,C6H12,110-82-7,51.087,-5226.4,-4.2278,9.76E-18,6,279.69,5.36E+03,553.8,4.09E+06,1
66,66,Cyclohexanol,C6H12O,108-93-0,189.19,-14337,-24.148,1.07E-05,2,296.6,7.65E+01,650.1,4.27E+06,1
67,67,Cyclohexanone,C6H10O,108-94-1,85.424,-7944.4,-9.2862,5.00E-06,2,242,6.80E+00,653,3.99E+06,1
68,68,Cyclohexene,C6H10,110-83-8,88.184,-6624.9,-10.059,8.26E-06,2,169.67,1.04E-01,560.4,4.39E+06,1
69,69,Cyclopentane,C5H10,287-92-3,66.341,-5198.5,-6.8103,6.19E-06,2,179.28,9.07E+00,511.7,4.51E+06,1
70,70,Cyclopentene,C5H8,142-29-0,67.952,-5187.5,-7.0785,6.82E-06,2,138.13,1.28E-02,507,4.80E+06,1
71,71,Cyclopropane,C3H6,75-19-4,40.608,-3179.6,-2.8937,5.61E-17,6,145.59,7.80E+01,398,5.49E+06,1
72,72,Cyclohexyl mercaptan,C6H12S,1569-69-3,85.146,-7843.7,-9.2982,5.18E-06,2,189.64,8.24E-03,664,3.97E+06,1
