no.,Name,Formula,CAS-number,molecular-weight,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
,-,-,-,MW,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,kJ/mol,kJ/mol,J/mol.K,kJ/mol
226,Methylisobutyl ketone,C6H12O,108-10-1,100.159,-286.4,-135.1,412.9,-34.762
227,Methyl Isocyanate,C2H3NO,624-83-9,57.051,-62.4,0.244,195.5,-10.6
228,Methylisopropyl ether,C4H10O,598-53-8,74.122,-252,-121.8,341.6,-25.311
229,Methylisopropyl ketone,C5H10O,563-80-4,86.132,-262.6,-139.3,369.9,-28.77
230,Methylisopropyl sulfide,C4H10S,1551-21-9,90.187,-89.6,14.509,359,-29.57
231,Methyl mercaptan,CH4S,74-93-1,48.107,-22.9,-9.8,255,-11.517
232,Methyl methacrylate,C5H8O2,80-62-6,100.116,-360,-254,401,-25.4
233,2-Methyloctanoic acid,C9H18O2,3004-93-1,158.238,-579.5,-318,553.3,-50.56
234,2-Methylpentane,C6H14,107-83-5,86.175,-174.55,-5.338,380.89,-38.4915
235,Methyl pentyl ether,C6H14O,628-80-8,102.175,-278,-93.5,432,-37.39
236,2-Methylpropane,C4H10,75-28-5,58.122,-134.99,-21.44,295.5,-26.4895
237,2-Methyl-2-propanol,C4H10O,75-65-0,74.122,-312.4,-177.6,326.3,-24.239
238,2-Methyl propene,C4H8,115-11-7,56.106,-17.1,58.08,293.09,-25.242
239,Methyl propionate,C4H8O2,554-12-1,88.105,-427.5,-311,359.6,-20.78
240,Methylpropyl ether,C4H10O,557-17-5,74.122,-238.2,-111,352,-25.1739
241,Methylpropyl sulfide,C4H10S,3877-15-4,90.187,-82.3,17.93,371.7,-29.62
242,Methylsilane,CH6Si,992-94-9,46.144,-29.1,18.53,256.5,-19.99
243,alpha-Methyl styrene,C9H10,98-83-9,118.176,118.3,217.3,372.5,-48.214
244,Methyl tert-butyl ether,C5H12O,1634-04-4,88.148,-283.2,-117,357.8,-31.05
245,Methyl vinyl ether,C3H6O,107-25-5,58.079,-108,-47.3,308,-17.7431
246,Naphthalene,C10H8,91-20-3,128.171,150.58,224.08,333.15,-49.809
247,Neon,Ne,7440-01-09,20.18,0,0,146.219,0
248,Nitroethane,C2H5NO2,79-24-3,75.067,-102.1,-6.125,316.8,-12.5
249,Nitrogen,N2,7727-37-9,28.013,0,0,191.5,0
250,Nitrogen trifluoride,F3N,7783-54-2,71.002,-132.089,-90.6,260.62,0
251,Nitromethane,CH3NO2,75-52-5,61.04,-74.7,-6.934,275.1,-6.432
252,Nitrous oxide,N2O,10024-97-2,44.013,82.05,104.16,219.85,-0.820482
253,Nitric oxide,NO,10102-43-9,30.006,90.25,86.57,210.6,-0.902489
254,Nonadecane,C19H40,629-92-5,268.521,-435.79,107.4,898.66,-117.812
255,Nonanal,C9H18O,124-19-6,142.239,-310.9,-75.53,539.88,-53.5
256,Nonane,C9H20,111-84-2,128.255,-228.74,24.98,506.4,-56.8455
257,Nonanoic acid,C9H18O2,112-05-0,158.238,-577.3,-317,559,-50.61
258,1-Nonanol,C9H20O,143-08-8,144.255,-377.9,-108.6,557.9,-55.06
259,2-Nonanol,C9H20O,628-99-9,144.255,-397.1,-126.1,552.3,-55.06
260,1-Nonene,C9H18,124-11-8,126.239,-103.5,112.3,504.1,-55.716
261,Nonyl mercaptan,C9H20S,1455-21-6,160.32,-190.8,52.8,572.4,-60.06
262,1-Nonyne,C9H16,3452-09-03,124.223,61.7,243.4,486.99,-54.93
263,Octadecane,C18H38,593-45-3,254.494,-415.12,99.1,859.45,-111.715
